X,Y,Layer,SubClasses,ExtendedEntity,Linetype,EntityHandle,Text
-152.882122632818,57.7045826664928,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,286,XXXXX
-152.882470453182,57.7039151069991,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,289,XXXXX
-152.882839550502,57.7032203616416,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,28C,XXXXX
-152.883556483034,57.7025204713437,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,28F,XXXXX
-152.884282180511,57.7018671878305,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,292,XXXXX
-152.885070787854,57.7011624462293,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,295,XXXXX
-152.885791151215,57.7005145817718,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,298,XXXXX
-152.886427439703,57.6999398799464,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,29B,XXXXX
-152.887063624034,57.6993679113288,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,29E,XXXXX
-152.887747047205,57.6987552956323,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2A1,XXXXX
-152.888607581256,57.6975338209907,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2A4,XXXXX
-152.888923793544,57.6967236286581,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2A7,XXXXX
-152.889162660813,57.6961016282113,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2AA,XXXXX
-152.889351335858,57.6956160502699,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2AD,XXXXX
-152.889606441265,57.694964081492,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2B0,XXXXX
-152.889932327112,57.6941703950172,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2B3,XXXXX
-152.89010069531,57.6933452166689,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2B6,XXXXX
-152.890224407894,57.6926428235752,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2B9,XXXXX
-152.890342170343,57.691765199247,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2BC,XXXXX
-152.890897724036,57.691148708537,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2C8,XXXXX
-152.891426789237,57.6905620933887,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2CB,XXXXX
-152.891961114278,57.689970047575,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2CE,XXXXX
-152.8924954218,57.6893779993898,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2D1,XXXXX
-152.893193705726,57.6886039860203,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2D4,XXXXX
-152.893881406868,57.6878408254504,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2D7,XXXXX
-152.894595459994,57.6870505186757,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2DA,XXXXX
-152.888206815997,57.6980996532449,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2DD,XXXXX
-152.883923997539,57.8626353985356,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2E0,XXXXX
-152.884167391034,57.863234247615,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2E3,XXXXX
-152.88371319686,57.8619793543228,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2E6,XXXXX
-152.883497184774,57.8613260010157,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2E9,XXXXX
-152.884795490751,57.8606941719659,DPNUM,AcDbEntity:AcDbText:AcDbAttributeDefinition,,,2EC,XXXXX
